Date,Short Vol,Short Exempt Vol,Total Vol,% Shorted,Close
18/07/2023,8974071,92762,19136383,46.9,193.7299957
17/07/2023,9867747,77497,19106282,51.65,193.9900055
14/07/2023,6363715,98141,15104938,42.13,190.6900024
13/07/2023,6148358,66729,16166076,38.03,190.5399933
12/07/2023,8580496,84584,21275653,40.33,189.7700043
11/07/2023,6706664,87473,17482738,38.36,188.0800018
10/07/2023,9245997,60587,20815277,44.42,188.6100006
07/07/2023,7521012,71932,17292248,43.49,190.6799927
06/07/2023,9439444,63806,16431859,57.45,191.8099976
05/07/2023,10093537,80374,18048211,55.93,191.3300018
03/07/2023,7686939,81993,13969168,55.03,192.4600067
30/06/2023,12101319,88710,29111824,41.57,193.9700012
29/06/2023,7228722,76079,17667812,40.91,189.5899963
28/06/2023,8595735,70932,19320922,44.49,189.25
27/06/2023,8261720,73402,19995920,41.32,188.0599976
26/06/2023,7625981,48309,19062459,40.01,185.2700043
23/06/2023,7868087,63252,19385823,40.59,186.6799927
22/06/2023,8312822,52514,19549627,42.52,187
21/06/2023,7139978,102689,17196256,41.52,183.9600067
20/06/2023,7199512,76291,18005066,39.99,185.0099945
16/06/2023,10268842,72677,19306860,53.19,184.9199982
15/06/2023,11876899,97585,22324162,53.2,186.0099945
14/06/2023,8227885,101323,19214909,42.82,183.9499969
13/06/2023,9891115,119287,20918954,47.28,183.3099976
12/06/2023,7971134,71386,18117651,44,183.7899933
09/06/2023,8554616,63730,19131760,44.71,180.9600067
08/06/2023,8461904,117226,21416474,39.51,180.5700073
07/06/2023,9342415,122423,22695809,41.16,177.8200073
06/06/2023,12288643,128344,30372422,40.46,179.2100067
05/06/2023,27847528,278850,60130817,46.31,179.5800018
02/06/2023,8901249,140552,25005002,35.6,180.9499969
01/06/2023,9763962,102620,26247959,37.2,180.0899963
31/05/2023,13982394,105114,25858428,54.07,177.25
30/05/2023,11274013,131068,20828724,54.13,177.3000031
26/05/2023,9879794,63676,20073148,49.22,175.4299927
25/05/2023,8212393,78221,19004697,43.21,172.9900055
24/05/2023,7695229,66734,18045344,42.64,171.8399963
23/05/2023,8229257,62416,16753362,49.12,171.5599976
22/05/2023,7396459,97540,17778735,41.6,174.1999969
19/05/2023,10065354,75931,19390781,51.91,175.1600037
18/05/2023,12841608,70254,23199109,55.35,175.0500031
17/05/2023,11886098,226667,21632514,54.95,172.6900024
16/05/2023,8267579,67637,16353962,50.55,172.0700073
15/05/2023,8214583,53689,14928004,55.03,172.0700073
12/05/2023,10805813,67214,19556675,55.25,172.5700073
11/05/2023,8256375,59107,19668645,41.98,173.5100098
10/05/2023,9874833,70980,22125761,44.63,173.3202667
09/05/2023,6541396,58065,17184896,38.06,171.5327454
08/05/2023,8869793,81449,24040508,36.9,173.2603455
05/05/2023,22396964,247272,52544255,42.62,173.3302612
04/05/2023,13460505,79715,28537464,47.17,165.5609894
03/05/2023,12372167,86870,23828613,51.92,167.2187042
02/05/2023,11483735,88327,20106592,57.11,168.3071899
01/05/2023,12906745,86964,22754003,56.72,169.3557434
28/04/2023,9531279,64372,21774235,43.77,169.4456177
27/04/2023,9863252,50294,22950078,42.98,168.1773834
26/04/2023,7697377,49864,16353281,47.07,163.5337982
25/04/2023,8805645,55076,18325627,48.05,163.5437927
24/04/2023,9378636,49944,16925385,55.41,165.1016388
21/04/2023,9418006,69545,21105722,44.62,164.7920685
20/04/2023,8457540,72589,20642504,40.97,166.4197998
19/04/2023,9483718,70095,21165912,44.81,167.398468
18/04/2023,8512648,36814,21766389,39.11,166.2400665
17/04/2023,6706802,85066,16733076,40.08,165.00177
14/04/2023,8587422,76249,20758274,41.37,164.9818115
13/04/2023,11390610,75903,26295311,43.32,165.3313141
12/04/2023,8259107,52641,19386278,42.6,159.8788605
11/04/2023,8958027,53727,18502085,48.42,160.5778961
10/04/2023,11144275,121446,20555374,54.22,161.8061829
06/04/2023,9818097,73675,18529949,52.99,164.4325562
05/04/2023,8226943,58874,21796522,37.74,163.5337982
04/04/2023,6416776,78778,17837925,35.97,165.4012299
03/04/2023,11168418,91222,21116837,52.89,165.9404755
31/03/2023,12424424,78338,22602008,54.97,164.672226
30/03/2023,9114176,90649,18529128,49.19,162.1357422
29/03/2023,10158026,46892,19198111,52.91,160.5479431
28/03/2023,10935937,69698,19447025,56.23,157.4322357
27/03/2023,10890678,88450,19479178,55.91,158.0613708
24/03/2023,11410533,112215,24553227,46.47,160.028656
23/03/2023,9873715,138803,24865919,39.71,158.7104645
22/03/2023,9951690,97510,27167752,36.63,157.6119995
21/03/2023,11103161,127305,26513260,41.88,159.0599823
20/03/2023,12627490,117856,28096009,44.94,157.1825867
17/03/2023,7784474,68621,23785045,32.73,154.7859039
16/03/2023,10934112,80117,25555288,42.79,155.6347351
15/03/2023,10431356,116350,23269880,44.83,152.7786865
14/03/2023,9755367,110692,24797697,39.34,152.3792267
13/03/2023,11090751,90930,27497002,40.33,150.2621613
10/03/2023,9928157,89597,24612051,40.34,148.2948761
09/03/2023,8636983,68693,21556256,40.07,150.3819885
08/03/2023,8955201,103258,21611590,41.44,152.658844
07/03/2023,9202982,102147,22405019,41.08,151.3906097
06/03/2023,14309630,146492,40091461,35.69,153.6175232
03/03/2023,11305858,115917,25574210,44.21,150.8213806
02/03/2023,7284467,33430,20079243,36.28,145.7084656
01/03/2023,7041496,40334,19924930,35.34,145.1092834
28/02/2023,6018671,51183,15381701,39.13,147.2063904
27/02/2023,7832659,63388,17600234,44.5,147.715683
24/02/2023,9099967,103313,21050504,43.23,146.5073547
23/02/2023,8897841,61912,19754902,45.04,149.193634
22/02/2023,9056668,108286,21072036,42.98,148.7043152
21/02/2023,8669163,85231,20306693,42.69,148.2749023
17/02/2023,11779196,84583,22992801,51.23,152.3392944
16/02/2023,11268256,251797,26068173,43.23,153.4976959
15/02/2023,16721249,125095,29441136,56.8,155.115448
14/02/2023,14068936,119514,23990205,58.64,152.9883881
13/02/2023,14943119,106132,25125689,59.47,153.6374969
10/02/2023,11819520,89722,20791851,56.85,150.8014069
09/02/2023,12018941,108530,20964788,57.33,150.4319153
08/02/2023,13277659,105016,24059307,55.19,151.4788818
07/02/2023,18155577,127891,31348351,57.92,154.200943
06/02/2023,16230373,116055,28998455,55.97,151.2894287
03/02/2023,38036175,523907,69789078,54.5,154.0513763
02/02/2023,23392039,176621,48291030,48.44,150.3820648
01/02/2023,18294451,212158,32580258,56.15,145.0077057
31/01/2023,12316880,85949,22581514,54.54,143.8710175
30/01/2023,15172841,169005,27058042,56.08,142.5847778
27/01/2023,19482079,138865,32956367,59.11,145.5062561
26/01/2023,13783772,116024,23778530,57.97,143.5419922
25/01/2023,17780651,144186,32537760,54.65,141.4480743
24/01/2023,18194166,89232,31230871,58.26,142.1161346
23/01/2023,21900148,107721,37385543,58.58,140.7002563
20/01/2023,14110175,133333,30551781,46.18,137.4696655
19/01/2023,17156873,73477,27385350,62.65,134.8772278
18/01/2023,14856763,102069,30901422,48.08,134.8173981
17/01/2023,15018171,106062,30317766,49.54,135.5452728
13/01/2023,12121830,78330,27507958,44.07,134.3686981
12/01/2023,16021761,161849,33251106,48.18,133.0226135
11/01/2023,15948920,92177,32334383,49.32,133.1023865
10/01/2023,17246567,93614,33029670,52.22,130.3504028
09/01/2023,15605181,171192,32533407,47.97,129.7720795
06/01/2023,17611218,112033,37882039,46.49,129.2436218
05/01/2023,18010966,105668,38397755,46.91,124.6569824
04/01/2023,16733383,161474,40709344,41.1,125.9930954
03/01/2023,23684910,237917,50419633,46.98,124.7068329
30/12/2022,13640537,156634,35603818,38.31,129.5527191
29/12/2022,15828965,107347,38752482,40.85,129.2336578
28/12/2022,17529949,195550,43371016,40.42,125.6740189
27/12/2022,18222281,150213,35841441,50.84,129.6524353
23/12/2022,18870587,114798,34218966,55.15,131.4771271
22/12/2022,17072283,124124,33760183,50.57,131.8460388
21/12/2022,25665997,158062,39835277,64.43,135.0567017
20/12/2022,15748960,185056,36213578,43.49,131.9158478
19/12/2022,16197808,154464,34652554,46.74,131.9856262
16/12/2022,24312735,184243,38521097,63.12,134.1194305
15/12/2022,24244748,177204,39424432,61.5,136.103653
14/12/2022,20236417,166161,34527857,58.61,142.7941742
13/12/2022,14444769,120349,37949733,38.06,145.0476074
12/12/2022,16126400,131283,33439549,48.23,144.0704498
09/12/2022,15933218,133597,32937969,48.37,141.7472076
08/12/2022,13792677,160707,30271144,45.56,142.2357941
07/12/2022,14119671,160308,32078134,44.02,140.5307617
06/12/2022,11634602,134367,28857165,40.32,142.4950409
05/12/2022,11824305,177694,31474771,37.57,146.2042389
02/12/2022,15868737,100094,27325256,58.07,147.3808136
01/12/2022,17383454,124249,33436737,51.99,147.8793488
30/11/2022,19827287,126325,40009277,49.56,147.600174
29/11/2022,18997157,145746,42620792,44.57,140.7600861
28/11/2022,14536843,120033,30834672,47.14,143.801239
25/11/2022,10966191,51622,17985555,60.97,147.6799469
23/11/2022,17217493,77054,29713252,57.95,150.6313477
22/11/2022,13967368,66200,24241728,57.62,149.7439117
21/11/2022,15241526,187582,27233691,55.97,147.5802307
18/11/2022,19962952,113989,33306466,59.94,150.8506927
17/11/2022,21404854,227568,36115659,59.27,150.2823486
16/11/2022,14245408,134163,30154596,47.24,148.3579559
15/11/2022,22289235,106129,38373075,58.09,149.6043243
14/11/2022,18546162,78554,30145252,61.52,147.8494415
11/11/2022,16955114,130021,41293462,41.06,149.2653198
10/11/2022,15149964,112202,42924817,35.29,146.4435272
09/11/2022,12675319,66558,31328076,40.46,134.4783783
08/11/2022,17069698,115712,44852935,38.06,139.0949402
07/11/2022,14969038,89968,40478832,36.98,138.5166168
04/11/2022,24488028,222925,64254207,38.11,137.9781952
03/11/2022,16985182,100632,41696284,40.74,138.247406
02/11/2022,20124349,122181,35694413,56.38,144.3693848
01/11/2022,18186325,120274,35137599,51.76,149.9637909
31/10/2022,19408968,123002,44236947,43.88,152.6415405
28/10/2022,39386667,288433,77725623,50.67,155.0306091
27/10/2022,17624632,229256,37957584,46.43,144.1404419
26/10/2022,18767455,152097,35010962,53.6,148.6697083
25/10/2022,18289950,72457,32036750,57.09,151.6461029
24/10/2022,18439541,92328,31693301,58.18,148.7692566
21/10/2022,15899538,91087,32753440,48.54,146.5991974
20/10/2022,15427057,62261,25203955,61.21,142.7368622
19/10/2022,14203240,51580,26316569,53.97,143.2047119
18/10/2022,21864121,128801,44110041,49.57,143.0952148
17/10/2022,12303159,99277,35720877,34.44,141.761322
14/10/2022,12386357,123207,32566253,38.03,137.7496948
13/10/2022,17132774,139920,42898952,39.94,142.3386993
12/10/2022,10032754,118891,30583799,32.8,137.7098694
11/10/2022,11487992,77729,34617918,33.19,138.3469543
10/10/2022,11782030,128610,32645155,36.09,139.7803955
07/10/2022,17711944,77012,32406206,54.66,139.451889
06/10/2022,14708071,73797,30793110,47.76,144.7675629
05/10/2022,22256952,77558,37790144,58.9,145.733139
04/10/2022,15570165,114569,37782769,41.21,145.4345245
03/10/2022,20519906,185171,49311820,41.61,141.8011322
30/09/2022,24510426,103958,47121884,52.01,137.5704956
29/09/2022,31416746,159089,55999744,56.1,141.8309937
28/09/2022,35704592,250646,70471239,50.67,149.1574707
27/09/2022,12351509,101882,35613519,34.68,151.0687408
26/09/2022,14916626,100004,42016417,35.5,150.083252
23/09/2022,16883154,144305,43852974,38.5,149.7447815
22/09/2022,17635024,103148,39693157,44.43,152.0442657
21/09/2022,20842347,190018,46603417,44.72,153.0198059
20/09/2022,22402783,167874,55647745,40.26,156.185318
19/09/2022,14098189,120532,34535179,40.82,153.7763367
16/09/2022,16948958,196664,41419265,40.92,150.0135498
15/09/2022,17325155,111668,38226952,45.32,151.6759644
14/09/2022,17326856,104808,37331173,46.41,154.6025543
13/09/2022,20709362,106024,45384893,45.63,153.1392517
12/09/2022,22454159,97260,47585958,47.19,162.6855774
09/09/2022,10271136,125991,28449592,36.1,156.6531677
08/09/2022,14343452,177640,36906470,38.86,153.7564392
07/09/2022,17458643,113799,38696697,45.12,155.2496185
06/09/2022,12230176,143404,29321493,41.71,153.8261108
02/09/2022,12627089,136961,31142818,40.55,155.100296
01/09/2022,12080268,120198,30724598,39.32,157.240509
31/08/2022,10306305,64851,25916855,39.77,156.5038757
30/08/2022,13853437,77440,33188191,41.74,158.1861725
29/08/2022,12815411,127069,30746356,41.68,160.6449127
26/08/2022,13811210,72106,28539096,48.39,162.8747101
25/08/2022,12046904,67001,21108680,57.07,169.2555084
24/08/2022,13489484,69778,22898919,58.91,166.7669067
23/08/2022,13155512,101885,21670369,60.71,166.4682617
22/08/2022,14363419,57588,25293391,56.79,166.8067322
19/08/2022,13087281,126396,28402453,46.08,170.7387238
18/08/2022,12308593,208845,27252240,45.17,173.3567352
17/08/2022,16432273,77289,35438689,46.37,173.7549286
16/08/2022,13968825,77788,22920291,60.95,172.2418518
15/08/2022,13761083,64392,22826504,60.29,172.4011078
12/08/2022,12743673,77279,27468905,46.39,171.3160858
11/08/2022,9479273,76107,22632575,41.88,167.7225342
10/08/2022,11529092,74398,27415232,42.05,168.4691315
09/08/2022,10404929,78993,25283344,41.15,164.1687927
08/08/2022,10272099,67265,31183947,32.94,164.1190186
05/08/2022,11625129,104276,24782668,46.91,164.5968475
04/08/2022,15374299,88341,25168870,61.08,164.8257904
03/08/2022,22122718,149220,33954928,65.15,165.1438904
02/08/2022,15093731,93945,24428009,61.79,159.0602112
01/08/2022,17267161,78660,28813589,59.93,160.5513153
29/07/2022,23853277,115303,42769743,55.77,161.5453796
28/07/2022,15899704,101657,29628230,53.66,156.4160156
27/07/2022,16613200,53696,28365134,58.57,155.859314
26/07/2022,11902760,56967,21334126,55.79,150.7001648
25/07/2022,14735828,124027,24852651,59.29,152.0421143
22/07/2022,18169087,101241,29648483,61.28,153.175354
21/07/2022,17017457,112567,28891844,58.9,154.4278717
20/07/2022,16126440,141485,29652591,54.38,152.1315765
19/07/2022,15614460,85502,34617169,45.11,150.1036835
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
